stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,asw_node_id,asw_stop_id
U50S1,"Budějovická",50.044411,14.448787,"P",,1,,1,,,50,
U52S1,"Chodov",50.031672,14.490961,"P",,1,,1,,,52,
U75S1,"Kolbenova",50.110395,14.516398,"P",,1,,1,,,75,
U78S1,"Ládví",50.126591,14.469451,"P",,1,,1,,,78,
U100S1,"Vltavská",50.100298,14.438492,"P",,1,,1,,,100,
U106S1,"Opatov",50.027889,14.509192,"P",,1,,1,,,106,
U115S1,"Nádraží Holešovice",50.108915,14.440073,"P",,1,,1,,,115,
U118S1,"Flora",50.078278,14.462592,"P",,1,,2,,,118,
U135S1,"Hloubětín",50.106688,14.536390,"P",,1,,1,,,135,
U142S1,"Hlavní nádraží",50.083506,14.434138,"P",,1,,1,,,142,
U157S1,"Bořislavka",50.098341,14.362832,"P",,1,,1,,,157,
U163S1,"Hradčanská",50.097443,14.403160,"P",,1,,2,,,163,
U190S1,"I. P. Pavlova",50.074333,14.430309,"P",,1,,1,,,190,
U209S1,"Jiřího z Poděbrad",50.077721,14.450750,"P",,1,,2,,,209,
U228S1,"Kačerov",50.041838,14.459309,"P",,1,,2,,,228,
U237S1,"Karlovo náměstí",50.074591,14.416978,"P",,1,,1,,,237,
U258S1,"Lužiny",50.044497,14.330442,"P",,1,,1,,,258,
U286S1,"Háje",50.030785,14.526974,"P",,1,,1,,,286,
U306S1,"Nemocnice Motol",50.075388,14.341519,"P",,1,,1,,,306,
U321S1,"Dejvická",50.100471,14.393175,"P",,1,,1,,,321,
U332S1,"Střížkov",50.126171,14.489543,"P",,1,,1,,,332,
U360S1,"Malostranská",50.091724,14.409214,"P",,1,,2,,,360,
U385S1,"Pankrác",50.051027,14.439683,"P",,1,,1,,,385,
U400S1,"Muzeum",50.079858,14.431383,"P",,1,,1,,,400,
U458S1,"Smíchovské nádraží",50.061306,14.409110,"P",,1,,2,,,458,
U462S1,"Nádraží Veleslavín",50.095861,14.348329,"P",,1,,1,,,462,
U474S1,"Vysočanská",50.110064,14.501081,"P",,1,,1,,,474,
U476S1,"Náměstí Míru",50.075312,14.439781,"P",,1,,2,,,476,
U480S1,"Náměstí Republiky",50.088825,14.430598,"P",,1,,2,,,480,
U507S1,"Petřiny",50.086842,14.344938,"P",,1,,1,,,507,
U510S1,"Českomoravská",50.106165,14.491690,"P",,1,,2,,,510,
U527S1,"Vyšehrad",50.063139,14.430520,"P",,1,,2,,,527,
U529S1,"Palmovka",50.103985,14.474795,"P",,1,,1,,,529,
U539S1,"Národní třída",50.079750,14.420293,"P",,1,,1,,,539,
U597S1,"Pražského povstání",50.056856,14.433312,"P",,1,,2,,,597,
U601S1,"Roztyly",50.037670,14.476739,"P",,1,,1,,,601,
U602S1,"Nové Butovice",50.050844,14.352149,"P",,1,,1,,,602,
U603S1,"Prosek",50.119246,14.498607,"P,0",,1,,1,,,603,
U655S1,"Invalidovna",50.096802,14.463152,"P",,1,,2,,,655,
U675S1,"Kobylisy",50.124121,14.454255,"P",,1,,1,,,675,
U685S1,"Jinonice",50.054209,14.369913,"P",,1,,2,,,685,
U689S1,"Florenc",50.090258,14.438409,"P",,1,,1,,,689,
U703S1,"Staroměstská",50.088203,14.417671,"P",,1,,2,,,703,
U713S1,"Strašnická",50.073072,14.490514,"P",,1,,1,,,713,
U758S1,"Křižíkova",50.092546,14.451340,"P",,1,,2,,,758,
U818S1,"Rajská zahrada",50.106848,14.560503,"P",,1,,1,,,818,
U897S1,"Černý Most",50.108967,14.576833,"P",,1,,1,,,897,
U921S1,"Želivského",50.078283,14.475479,"P",,1,,2,,,921,
U953S1,"Skalka",50.068430,14.507862,"P",,1,,1,,,953,
U957S1,"Radlická",50.058119,14.387758,"P",,1,,2,,,957,
U1000S1,"Letňany",50.126245,14.516411,"P,0",,1,,1,,,1000,
